ifd0_make#ifd0_model#ifds_FocalLength#Count
1#1##40
1#1#5 mm#1385
4#516#35 mm#12
4#516#36 mm#11
4#516#37 mm#12
4#516#38 mm#23
4#516#39 mm#8
4#516#40 mm#9
4#516#41 mm#6
4#516#42 mm#7
4#516#44 mm#5
4#516#45 mm#5
4#516#46 mm#4
4#516#47 mm#7
4#516#48 mm#1
4#516#49 mm#6
4#516#50 mm#7
4#516#51 mm#8
4#516#52 mm#7
4#516#53 mm#5
4#516#54 mm#5
4#516#55 mm#3
4#516#58 mm#6
4#516#59 mm#4
4#516#6 mm#882
4#516#61 mm#1
4#516#62 mm#6
4#516#63 mm#1
4#516#64 mm#2
4#516#66 mm#2
4#516#67 mm#15
4#516#7 mm#56
4#516#72 mm#199
4#516#8 mm#40
4#516#9 mm#48
4#523#11 mm#1
4#523#12 mm#2
4#523#13 mm#1
4#523#14 mm#2
4#523#15 mm#1
4#523#16 mm#2
4#523#5 mm#72
4#523#6 mm#8
4#523#7 mm#6
4#523#8 mm#5
4#523#9 mm#3
4#535##1
4#535#10 mm#7
4#535#11 mm#1
4#535#12 mm#11
4#535#13 mm#2
4#535#14 mm#1
4#535#15 mm#7
4#535#16 mm#2
4#535#17 mm#2
4#535#20 mm#3
4#535#21 mm#4
4#535#24 mm#3
4#535#25 mm#1
4#535#27 mm#2
4#535#29 mm#1
4#535#31 mm#2
4#535#33 mm#4
4#535#37 mm#2
4#535#40 mm#13
4#535#5 mm#108
4#535#6 mm#7
4#535#7 mm#20
4#535#8 mm#9
