ifd0_make#ifd0_model#ifd0_Orientation#Count
1#1##1357
1#1#0#31
4#1556#8 = Row 0: left, Col 0: botto#23
4#1563##6
4#1563#1 = Row 0: top, Col 0: left#406
4#1563#6 = Row 0: right, Col 0: top#111
4#1563#8 = Row 0: left, Col 0: botto#24
4#1568#1 = Row 0: top, Col 0: left#195
4#1568#6 = Row 0: right, Col 0: top#11
4#1568#8 = Row 0: left, Col 0: botto#17
4#1599#1 = Row 0: top, Col 0: left#24
4#1638#1 = Row 0: top, Col 0: left#90
4#1638#6 = Row 0: right, Col 0: top#3
4#1692#1 = Row 0: top, Col 0: left#126
4#1692#6 = Row 0: right, Col 0: top#39
4#1692#8 = Row 0: left, Col 0: botto#1
4#1693#1 = Row 0: top, Col 0: left#9
4#1694##1
4#1694#1 = Row 0: top, Col 0: left#167
4#1694#6 = Row 0: right, Col 0: top#5
4#1694#8 = Row 0: left, Col 0: botto#3
4#1723##38
4#1723#1 = Row 0: top, Col 0: left#516
4#1723#6 = Row 0: right, Col 0: top#125
4#1723#8 = Row 0: left, Col 0: botto#11
4#1726##48
4#1726#1 = Row 0: top, Col 0: left#903
4#1726#6 = Row 0: right, Col 0: top#3
4#1726#8 = Row 0: left, Col 0: botto#73
4#1769##6
4#1769#1 = Row 0: top, Col 0: left#109
4#1787#1 = Row 0: top, Col 0: left#124
4#1787#6 = Row 0: right, Col 0: top#69
4#1787#8 = Row 0: left, Col 0: botto#8
4#1821#1 = Row 0: top, Col 0: left#273
4#1821#8 = Row 0: left, Col 0: botto#4
4#1843#1 = Row 0: top, Col 0: left#27
4#1843#6 = Row 0: right, Col 0: top#15
4#1843#8 = Row 0: left, Col 0: botto#2
4#1850#1 = Row 0: top, Col 0: left#194
4#1850#6 = Row 0: right, Col 0: top#15
4#1850#8 = Row 0: left, Col 0: botto#2
4#1851#1 = Row 0: top, Col 0: left#173
4#1855#1 = Row 0: top, Col 0: left#159
4#1855#3 = Row 0: bottom, Col 0: rig#1
4#1855#6 = Row 0: right, Col 0: top#95
4#1855#8 = Row 0: left, Col 0: botto#2
4#1867##1
4#1867#1 = Row 0: top, Col 0: left#164
4#1867#6 = Row 0: right, Col 0: top#26
4#1868#1 = Row 0: top, Col 0: left#479
4#1868#6 = Row 0: right, Col 0: top#44
4#1869#1 = Row 0: top, Col 0: left#83
