ifdg_GPSDestBearing ,Count
17344/441, 1
173531/585, 1
173564/589, 1
17359/112, 1
17364/389, 1
173738/799, 1
17384/231, 1
17388/247, 1
17393/609, 1
17399/111, 1
17399/546, 1
17399/57, 1
17411/154, 1
17422/715, 1
17423/78, 1
174242/983, 1
17439/284, 1
17446/691, 1
17447/222, 1
17460/361, 1
17461/2073, 1
17469/65, 1
17476/279, 1
17480/63, 1
17481/67, 1
174818/689, 1
17484/65, 1
17485/107, 1
17490/133, 1
1751/509, 2
17515/151, 1
17522/89, 1
17524/255, 1
17546/109, 1
17549/258, 1
17552/101, 1
17563/176, 1
17569/526, 3
17571/1076, 1
17579/156, 3
17584/127, 1
175857/797, 1
17595/338, 1
17598/1345, 1
17599/434, 1
17599/51, 1
176020/517, 1
17606/607, 1
17609/120, 1
17609/330, 1
17611/92, 1
17623/246, 1
17647/116, 1
17653/158, 1
17653/50, 1
17669/2869, 1
1769/608, 1
17712/173, 1
17714/447, 1
177148/493, 1
17721/172, 1
17725/401, 1
17736/65, 1
17737/154, 1
17747/279, 1
17751/263, 1
17757/815, 1
17760/100, 1
17766/71, 1
17768/305, 1
177725/623, 1
17773/348, 1
17783/137, 2
17783/359, 1
17783/58, 1
17785/796, 1
17800/223, 1
17801/132, 1
17816/81, 1
178214/593, 1
17826/71, 1
17828/295, 1
17833/61, 1
17847/127, 1
17851/513, 1
17854/85, 1
17859/536, 1
17859/82, 1
178625/1972, 1
17877/85, 1
17886/929, 1
178942/547, 1
178971/718, 2
17903/782, 1
17905/56, 1
17907/4669, 1
17919/52, 1
17924/295, 1
17924/59, 1
17931/554, 1
17943/479, 1
17944/121, 1
17945/169, 1
17945/53, 1
17949/139, 1
17954/169, 1
17959/251, 1
17975/222, 1
17977/142, 1
179786/985, 1
179938/1923, 1
18002/155, 1
18002/69, 1
180113/666, 1
18012/325, 1
180146/767, 1
18022/161, 1
18023/144, 1
18028/245, 1
18040/243, 1
18044/129, 1
180458/583, 1
180460/897, 1
18049/113, 1
18063/380, 1
18075/122, 1
180793/835, 1
18080/63, 1
18086/153, 1
18086/69, 1
18090/403, 1
18091/165, 1
18104/433, 1
18107/1436, 1
18107/70, 1
18112/55, 1
18115/59, 1
18121/72, 1
18123/79, 1
18126/479, 1
18133/277, 1
18139/142, 1
18139/178, 1
18141/137, 1
18142/427, 1
18142/445, 1
18145/508, 1
18147/1028, 1
18151/1048, 1
181567/609, 1
18164/277, 1
18173/588, 1
18184/115, 1
181927/884, 1
18198/101, 1
18204/67, 1
182072/677, 1
18211/4096, 1
18231/107, 1
18233/403, 1
182461/1135, 1
18248/59, 1
182507/565, 1
18271/256, 1
182843/1106, 1
182848/681, 1
18289/345, 1
18290/397, 1
18292/195, 1
18296/1345, 1
18301/3218, 1
18322/231, 1
18331/679, 1
183463/814, 1
18350/103, 1
18351/200, 1
18353/168, 1
1837/1506, 1
18381/95, 1
18384/83, 1
18387/209, 1
18391/57, 1
18399/58, 1
