ifdg_GPSImgDirection ,Count
10796/319, 1
10796/429, 1
10796/43, 1
10797/2840, 1
107971/393, 1
107978/373, 1
10798/1469, 1
107993/302, 1
107999/874, 1
108/1, 11
10800/100, 27
108001/455, 1
10801/235, 1
108013/322, 1
108015/734, 1
10803/1214, 1
10803/41, 1
10804/39, 1
10805/313, 1
10805/908, 1
10805/914, 1
10807/100, 1
108089/1381, 1
108089/399, 1
10809/769, 1
10809/77, 1
108094/1355, 1
108097/342, 1
10810/1389, 1
10810/469, 1
108101/355, 1
108103/358, 1
10811/47, 1
10811/582, 1
108119/567, 1
10812/67, 1
10812/89, 1
108123/310, 1
108161/349, 1
10817/46, 1
10817/586, 1
108175/493, 1
108177/319, 1
108184/385, 2
108189/550, 1
10819/116, 1
10819/286, 1
10819/449, 1
108211/323, 1
108215/451, 1
108227/348, 1
108229/348, 1
10823/131, 1
10823/260, 1
10823/46, 1
108238/539, 1
108247/348, 1
10825/100, 10
10825/38, 1
10825/68, 1
108250/407, 1
10827/1181, 1
10827/239, 1
10828/131, 1
108285/308, 1
108287/376, 1
10829/32, 1
10829/38, 1
10831/287, 1
10831/49, 1
108314/367, 1
